Symbol,Strategy,Type,Model_Components,Rebalances,Avg_Width,Final_Portfolio,Return_Pct,Sharpe_Ratio
BTCUSDC,QuantumBollinger,Quantum,QNN_Intent_Predictor_(Qiskit_VQC)_+_Bollinger_Bands,204,0.06323783212232396,15380.043414996451,53.80043414996452,0.6042495942028999
BTCUSDC,QuantumKeltner,Quantum,QNN_Intent_Predictor_(Qiskit_VQC)_+_Keltner_Channels,215,0.06323783212232396,15211.70630718052,52.117063071805205,0.5894490942898539
BTCUSDC,QuantumHybrid,Quantum,QNN_Intent_+_QSVM_Price_(Qiskit)_+_Hybrid_Strategy,189,0.06323783212232396,15612.600177103113,56.12600177103113,0.6221696147578705
BTCUSDC,MLBollinger,Classic ML,RandomForest_Classifier_(100_trees)_+_Bollinger_Bands,94,0.1038973905176122,17169.35010513437,71.6935010513437,0.7397530960486858
BTCUSDC,MLKeltner,Classic ML,RandomForest_Classifier_(100_trees)_+_Keltner_Channels,95,0.1038973905176122,17152.180755029145,71.52180755029146,0.7396327114001137
BTCUSDC,MLHybrid,Classic ML,RandomForest_+_GradientBoosting_Ensemble_+_Hybrid_Strategy,85,0.1038973905176122,17324.64971829899,73.24649718298991,0.751117232229954
ETHUSDC,QuantumBollinger,Quantum,QNN_Intent_Predictor_(Qiskit_VQC)_+_Bollinger_Bands,175,0.06426958844924104,19319.273999806435,93.19273999806435,0.7041743534769829
ETHUSDC,QuantumKeltner,Quantum,QNN_Intent_Predictor_(Qiskit_VQC)_+_Keltner_Channels,179,0.06426958844924104,19242.112742193367,92.42112742193368,0.7010852988174153
ETHUSDC,QuantumHybrid,Quantum,QNN_Intent_+_QSVM_Price_(Qiskit)_+_Hybrid_Strategy,193,0.06426958844924104,18974.46721115606,89.7446721115606,0.6880856533195603
ETHUSDC,MLBollinger,Classic ML,RandomForest_Classifier_(100_trees)_+_Bollinger_Bands,85,0.105139319429642,21139.60468588582,111.3960468588582,0.7881364888039455
ETHUSDC,MLKeltner,Classic ML,RandomForest_Classifier_(100_trees)_+_Keltner_Channels,92,0.105139319429642,20992.07064563632,109.92070645636318,0.7817537734558786
ETHUSDC,MLHybrid,Classic ML,RandomForest_+_GradientBoosting_Ensemble_+_Hybrid_Strategy,92,0.105139319429642,20992.070645636326,109.92070645636325,0.7819138859458089
USDCUSDT,QuantumBollinger,Quantum,QNN_Intent_Predictor_(Qiskit_VQC)_+_Bollinger_Bands,177,0.06005218384056249,8380.702476356606,-16.19297523643394,-3.900673978015151
USDCUSDT,QuantumKeltner,Quantum,QNN_Intent_Predictor_(Qiskit_VQC)_+_Keltner_Channels,198,0.06005218384056249,8206.45657552728,-17.9354342447272,-4.354287638302458
USDCUSDT,QuantumHybrid,Quantum,QNN_Intent_+_QSVM_Price_(Qiskit)_+_Hybrid_Strategy,199,0.06005218384056249,8198.250118951715,-18.01749881048285,-4.24567778864684
USDCUSDT,MLBollinger,Classic ML,RandomForest_Classifier_(100_trees)_+_Bollinger_Bands,104,0.10006281388215857,9015.706861447245,-9.842931385527553,-2.522311187407196
USDCUSDT,MLKeltner,Classic ML,RandomForest_Classifier_(100_trees)_+_Keltner_Channels,118,0.10006281388215857,8890.304122000787,-11.096958779992129,-2.793932126090556
USDCUSDT,MLHybrid,Classic ML,RandomForest_+_GradientBoosting_Ensemble_+_Hybrid_Strategy,99,0.10006281388215857,9060.920947539385,-9.390790524606144,-2.428461514384771
