Model,annual_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,profit_factor,total_trades,avg_trade_duration
Random Forest,0.1299342830602246,0.1472347139765763,1.6647688538100691,-0.0804605971281605,2.8672347371340594,0.4616167224336399,1.7063233020424546,149,2.8572009075316447
Gradient Boosting,0.1153172608610163,0.1403476240710399,1.6164164819840736,-0.0546619047811948,2.202396833005513,0.4501557531682029,1.7945480915038523,107,5.148538589793427
Logistic Regression,0.0455016433497393,0.1087542494151805,1.0987168879665576,-0.0562849466519054,1.429093325159315,0.5412139968434072,1.6496231729751096,100,4.294771947602976
VQE Classifier,0.0317539259732941,0.1795108964501186,0.8355551317122433,-0.0583402221932635,0.4764334497248486,0.5400998503939086,1.1092854728119066,138,7.793792198447356
QNN,0.0479949229978817,0.1989487964209327,0.8291034001262183,-0.0372888051945072,1.6231524313890364,0.5490353820222541,1.124071964780653,130,3.5526798896001015
QSVM,0.0567648922720495,0.1546976177215471,0.9091992264357672,-0.1055662608310488,0.7684140374990028,0.4869708911051054,1.778709239435191,93,7.6369936493851345
QASA Hybrid,0.1243727663210772,0.1376352207789722,1.3990914657134892,-0.0183341157292622,1.899574647721895,0.5213506653387179,1.2966541567811667,173,3.65599509213526
QASA Sequence,0.1392371667667408,0.0831316015328143,1.7486674594602831,-0.04912926395053,3.129348310700342,0.5289763036351139,1.305441722302627,112,6.892768570729005
Transformer,0.12,0.15,1.2,-0.08,1.5,0.58,1.3,85,4.2
Static Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Fixed Baseline,0.05,0.08,0.8,-0.05,1.0,0.52,1.1,12,30.0
