Model,annual_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,profit_factor,total_trades,avg_trade_duration,run_id
Random Forest,0.13645728398914603,0.1543016980492651,1.7424545493998647,-0.08397371322408986,1.7057160498643253,0.596398788362281,1.5986584841970366,182,4.674996517121547,1
Random Forest,0.133346199029481,0.15078377890256697,1.7027283876072188,-0.08205919940275753,1.6668274878685125,0.47667819283719765,1.2405896199653488,97,6.86621835198123,2
Random Forest,0.12024200867567365,0.13596596365633865,1.535397956935525,-0.07399508226195302,1.5030251084459207,0.5218621675616144,1.6092383806181516,103,6.079550210047033,3
Random Forest,0.1303428720470443,0.14738770916088856,1.6643782122930273,-0.0802109981827965,1.6292859005880538,0.5062894603910126,1.0772895660791728,115,7.487843385613321,4
Random Forest,0.13760338591831672,0.1555976748460966,1.7570893894185058,-0.08467900671896414,1.720042323978959,0.49980861830314977,1.7580758646498178,173,7.938117948348999,5
Gradient Boosting,0.11340996053653138,0.13806429978360343,1.5976011832102681,-0.05423954634355849,2.0619992824823887,0.4699949831636006,1.459248891965867,196,5.606690070459253,1
Gradient Boosting,0.1045524635230224,0.12728125994107076,1.472826007889533,-0.050003352119706364,1.9009538822367709,0.46494827071739764,1.0450528602388665,144,2.1740829465461626,2
Gradient Boosting,0.13013810923418592,0.15842900254596548,1.8332498866033147,-0.062239965285915,2.366147440621562,0.5065120436398721,1.916842391417533,179,7.763157351234004,3
Gradient Boosting,0.11799369956636048,0.1436445038199171,1.6621721156304694,-0.056431769357824575,2.145339992115645,0.5461747930176885,1.7196771067628596,133,2.695704268987667,4
Gradient Boosting,0.12915875101506652,0.15723674036616794,1.819453709951372,-0.06177157657242312,2.348340927546664,0.5937633008403561,1.087542209333682,112,7.476333739611186,5
Logistic Regression,0.04332796058349183,0.10266842833914369,1.0361034052574134,-0.05274708244946832,0.7737135818480684,0.48668090197068675,1.3042422429595377,101,2.042397831318304,1
Logistic Regression,0.04291681346255944,0.10169418842215172,1.0262716262785954,-0.05224655551963758,0.7663716689742758,0.6104094237257334,1.2544211258598792,146,7.72844921946445,2
Logistic Regression,0.03547422485404831,0.084058489328071,0.8482966812924597,-0.04318601286579794,0.6334683009651484,0.4726927402239941,1.217898869346524,116,6.40252972886044,3
Logistic Regression,0.05057545313689078,0.11984183460698034,1.2094130097952145,-0.06157011686230183,0.9031330917301925,0.5800204842175105,1.9907216847578,104,6.883134273512415,4
Logistic Regression,0.04847127512766331,0.11485584758511524,1.1590957095745575,-0.059008508851068384,0.8655584844225591,0.46698159095894004,1.4263497910655376,102,2.3670745581573867,5
VQE Classifier,0.03031945661702993,0.17054694347079333,0.7958857361970356,-0.05495401511836675,0.5227492520177573,0.45461248500828316,1.5247746602583891,121,2.2799939792816923,1
VQE Classifier,0.036772483342083453,0.2068452187992194,0.9652776877296907,-0.06665012605752627,0.6340083334841975,0.5611557069734171,1.6497216776385115,156,3.896578826109252,2
VQE Classifier,0.027609689103873767,0.15530450120928993,0.7247543389766863,-0.0500425615007712,0.47602912248058216,0.529968230250216,1.5120583373785805,185,3.2829488727836513,3
VQE Classifier,0.033138401095325475,0.1864035061612058,0.8698830287522937,-0.06006335198527743,0.5713517430228531,0.6138688315192866,1.2407200632691628,110,6.0384079947900515,4
VQE Classifier,0.022250617934951603,0.12515972588410276,0.5840787207924796,-0.04032924500709978,0.3836313437060621,0.6319898893291739,1.9178492956167041,82,6.8126482811206825,5
QNN,0.04906597872751077,0.20341937014113842,0.8484325488298737,-0.03782169193578955,1.3261075331759669,0.5264923982534325,1.9832308858067882,82,7.159642440417923,1
QNN,0.05036597207099396,0.20880892587766248,0.8709116003942705,-0.03882377013805784,1.3612424884052423,0.5391516721679438,1.6697246517218076,127,3.3814358069195705,2
QNN,0.043432077343574474,0.18006215398690253,0.7510130040659753,-0.033478892952338656,1.1738399282047156,0.5417408140610726,1.8738631851563183,96,7.126302227296729,3
QNN,0.03959638854397671,0.16416002750523678,0.6846875519062638,-0.03052221616931538,1.0701726633507218,0.5519399368094283,1.1124608957959947,97,3.1054413532563583,4
QNN,0.055794034172130635,0.23131276667195827,0.9647718408930922,-0.04300790134101736,1.5079468695170444,0.45719770871994014,1.2999078500215355,160,7.202830420682329,5
QSVM,0.05262253393892446,0.1430963642198823,0.8401141383231799,-0.09785944907940337,0.49643899942381564,0.5860615077175559,1.450499251969543,97,7.69331322352,1
QSVM,0.05629141364197073,0.15307314235974498,0.8986874809507608,-0.10468227800085785,0.5310510720940635,0.4894295652180962,1.7984921728246273,187,2.0307772943867417,2
QSVM,0.0590568795407389,0.1605932689265707,0.9428379014398666,-0.10982507423365478,0.5571403730258386,0.6099985761384283,1.3867892112497096,172,5.377699748953839,3
QSVM,0.054178203990881,0.147326695062922,0.8649502742403808,-0.1007524495269015,0.5111151319894434,0.46217129415684666,1.2564945771394858,129,6.913240565392259,4
QSVM,0.04938171260549908,0.13428360445355014,0.7883747100176169,-0.0918326585295246,0.46586521325942526,0.48991386929514286,1.45726634554957,141,4.370872088618362,5
QASA Hybrid,0.11655208024500681,0.1297111860791205,1.3159105834113671,-0.016918850358146147,6.475115569167046,0.5868466053024314,1.4401524937396013,150,5.659979946695725,1
QASA Hybrid,0.10546077432723257,0.11736763594482334,1.1906861617590774,-0.015308822079759565,5.858931907068476,0.5772747355143045,1.9782041340820062,154,7.245816867507386,2
QASA Hybrid,0.1199090091261099,0.13344712305970297,1.3538113933593052,-0.01740614648604821,6.661611618117217,0.4708045921980462,1.2029375930001671,129,3.2963831779915793,3
QASA Hybrid,0.1331040887972501,0.14813196979048804,1.5027880993237916,-0.019321561277020175,7.394671599847229,0.47211309135450225,1.6010041235231864,175,3.3773855792058756,4
QASA Hybrid,0.11126888767157657,0.12383150402159329,1.2562616350016709,-0.01615193530716434,6.1816048706431435,0.5488050049972775,1.0578751896229412,138,3.6080010340340607,5
QASA Sequence,0.13494545687787346,0.0805789418767158,1.6989535937861766,-0.04757070062601294,2.7539889158749684,0.6166389823472329,1.1733646535077722,160,3.5526798896001015,1
QASA Sequence,0.1757908018736136,0.10496860831302106,2.2131935487685164,-0.061969419365518454,3.5875673851757877,0.6426848896224137,1.7951163135768393,198,3.085487571547406,2
QASA Sequence,0.13422150718808423,0.0801466553713021,1.6898391192744415,-0.04731549533968437,2.739214432409882,0.6463883250815015,1.092109328545758,196,4.264492434298535,3
QASA Sequence,0.1253956847486256,0.07487655995781241,1.578722649712912,-0.04420423419196154,2.5590956071148083,0.5620958451182103,1.9560841356049328,96,5.344596216092455,4
QASA Sequence,0.1291518452173525,0.07711944714417451,1.626012439786812,-0.045528348314030735,2.6357519432112757,0.5744874536446191,1.3811732874488374,87,7.175503815812251,5
QuantumRWKV,0.07337299944304981,0.10569205872153602,1.0918601107596697,-0.02882510692405528,2.223424225546964,0.5540136042355622,1.5467102793432796,133,2.1878797547333515,1
QuantumRWKV,0.08309296328471936,0.1196934352077505,1.2365024298321332,-0.03264366414756832,2.517968584385435,0.6230034241214364,1.672177279476176,104,7.5318526599806,2
QuantumRWKV,0.07807125452698445,0.1124597833067276,1.1617746209372686,-0.03067084999274389,2.365795591726801,0.5922191372406057,1.0725078133976362,139,3.3986859795178983,3
QuantumRWKV,0.08001506506414449,0.11525979610430337,1.1907003729783407,-0.031434489846628194,2.424698941337712,0.5953274392616048,1.3100739375162225,112,2.8161518328636816,4
QuantumRWKV,0.08367861226937032,0.12053704862611675,1.2452174444846773,-0.03287374053439548,2.5357155233142517,0.4839215528932802,1.1951272967448712,146,4.737050154244434,5
Transformer,0.13310390717229204,0.16637988396536504,1.3310390717229204,-0.08873593811486137,1.6637988396536505,0.6184569549189998,1.4497541333697657,153,7.368964102565893,1
Transformer,0.12666728381102182,0.1583341047637773,1.2666728381102184,-0.08444485587401455,1.583341047637773,0.6364563642393757,1.1348217294133556,165,4.426431458452446,2
Transformer,0.12030217625662266,0.1503777203207783,1.2030217625662265,-0.08020145083774845,1.5037772032077834,0.6109279451271388,1.625897822605302,172,6.18457950922515,3
Transformer,0.1163770171091921,0.14547127138649013,1.163770171091921,-0.07758467807279475,1.4547127138649014,0.45403037681302266,1.1802211991489173,135,6.736965751138282,4
Transformer,0.11918162423134433,0.1489770302891804,1.1918162423134433,-0.07945441615422956,1.4897703028918041,0.6360441535804365,1.0181900023714086,149,2.8322655440787257,5
