,annual_return_mean,annual_return_std,annual_return_min,annual_return_max,annual_return_median,volatility_mean,volatility_std,volatility_min,volatility_max,volatility_median,sharpe_ratio_mean,sharpe_ratio_std,sharpe_ratio_min,sharpe_ratio_max,sharpe_ratio_median,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,max_drawdown_median,calmar_ratio_mean,calmar_ratio_std,calmar_ratio_min,calmar_ratio_max,calmar_ratio_median,win_rate_mean,win_rate_std,win_rate_min,win_rate_max,win_rate_median,profit_factor_mean,profit_factor_std,profit_factor_min,profit_factor_max,profit_factor_median,total_trades_mean,total_trades_std,total_trades_min,total_trades_max,total_trades_median,avg_trade_duration_mean,avg_trade_duration_std,avg_trade_duration_min,avg_trade_duration_max,avg_trade_duration_median,Model,n_runs
Random Forest,0.13159834993193234,0.0069510320328345886,0.12024200867567365,0.13760338591831672,0.133346199029481,0.14880736492303118,0.007860013144820658,0.13596596365633865,0.1555976748460966,0.15078377890256697,1.6804096991308282,0.08875933211158019,1.535397956935525,1.7570893894185058,1.7027283876072188,-0.08098359995811219,0.004277558174052054,-0.08467900671896414,-0.07399508226195302,-0.08205919940275753,1.6449793741491543,0.08688790041043234,1.5030251084459207,1.720042323978959,1.6668274878685125,0.520207445491051,0.045586393611860454,0.47667819283719765,0.596398788362281,0.5062894603910126,1.4567703831019057,0.2850015480433222,1.0772895660791728,1.7580758646498178,1.5986584841970366,134.0,40.36087214122113,97,182,115.0,6.609345282622426,1.2870283071306607,4.674996517121547,7.938117948348999,6.86621835198123,Random Forest,5
Gradient Boosting,0.11905059677503334,0.010819396833350182,0.1045524635230224,0.13013810923418592,0.11799369956636048,0.14493116129134495,0.013171439623208917,0.12728125994107076,0.15842900254596548,0.1436445038199171,1.6770605806569914,0.15241237278284603,1.472826007889533,1.8332498866033147,1.6621721156304694,-0.05693724193588551,0.005174494137689217,-0.062239965285915,-0.050003352119706364,-0.056431769357824575,2.1645563050006063,0.19671630606091237,1.9009538822367709,2.366147440621562,2.145339992115645,0.5162786782757831,0.054244867812757884,0.46494827071739764,0.5937633008403561,0.5065120436398721,1.4456726919437615,0.38275883738307975,1.0450528602388665,1.916842391417533,1.459248891965867,152.8,34.23010371003863,112,196,144.0,5.1431936753676535,2.6138288029653687,2.1740829465461626,7.763157351234004,5.606690070459253,Gradient Boosting,5
Logistic Regression,0.04415314543293073,0.005861428782646138,0.03547422485404831,0.05057545313689078,0.04332796058349183,0.10462375765629242,0.013889037767574544,0.084058489328071,0.11984183460698034,0.10266842833914369,1.055836086439648,0.1401646013241468,0.8482966812924597,1.2094130097952145,1.0361034052574134,-0.05375165530965481,0.007135652431047475,-0.06157011686230183,-0.04318601286579794,-0.05274708244946832,0.7884490255880487,0.10466837111868102,0.6334683009651484,0.9031330917301925,0.7737135818480684,0.523357028219373,0.06685631056609753,0.46698159095894004,0.6104094237257334,0.48668090197068675,1.4387267427978556,0.31846161295681874,1.217898869346524,1.9907216847578,1.3042422429595377,113.8,18.97893569197177,101,146,104.0,5.084717122262599,2.6740204511222956,2.042397831318304,7.72844921946445,6.40252972886044,Logistic Regression,5
VQE Classifier,0.030018129618652845,0.005513234298915957,0.022250617934951603,0.036772483342083453,0.03031945661702993,0.16885197910492225,0.03101194293140225,0.12515972588410276,0.2068452187992194,0.17054694347079333,0.7879759024896371,0.14472240034654388,0.5840787207924796,0.9652776877296907,0.7958857361970356,-0.05440785993380828,0.009992737166785176,-0.06665012605752627,-0.04032924500709978,-0.05495401511836675,0.5175539589422904,0.09505576377441306,0.3836313437060621,0.6340083334841975,0.5227492520177573,0.5583190286160754,0.07085202541204082,0.45461248500828316,0.6319898893291739,0.5611557069734171,1.5690248068322696,0.24554926577649683,1.2407200632691628,1.9178492956167041,1.5247746602583891,130.8,40.25791847574835,82,185,121.0,4.462115590817066,1.9027363440380083,2.2799939792816923,6.8126482811206825,3.896578826109252,VQE Classifier,5
QNN,0.04765089017163731,0.006292025065552494,0.03959638854397671,0.055794034172130635,0.04906597872751077,0.1975526488365797,0.026085687250936376,0.16416002750523678,0.23131276667195827,0.20341937014113842,0.8239633092178951,0.10879960009184521,0.6846875519062638,0.9647718408930922,0.8484325488298737,-0.03673089450730376,0.004850102654696712,-0.04300790134101736,-0.03052221616931538,-0.03782169193578955,1.2878618965307385,0.1700547315014188,1.0701726633507218,1.5079468695170444,1.3261075331759669,0.5233045060023634,0.03805026061594445,0.45719770871994014,0.5519399368094283,0.5391516721679438,1.5878374937004889,0.37206804716585773,1.1124608957959947,1.9832308858067882,1.6697246517218076,112.4,31.261797773000836,82,160,97.0,5.595130449714582,2.149178898249899,3.1054413532563583,7.202830420682329,7.126302227296729,QNN,5
QSVM,0.05430614874360283,0.0036610012213905436,0.04938171260549908,0.0590568795407389,0.054178203990881,0.14767461500453402,0.009955354198518144,0.13428360445355014,0.1605932689265707,0.147326695062922,0.866992900994361,0.05844756335904199,0.7883747100176169,0.9428379014398666,0.8649502742403808,-0.10099038187406842,0.006808177709954344,-0.10982507423365478,-0.0918326585295246,-0.1007524495269015,0.5123221579585173,0.03453774737160891,0.46586521325942526,0.5571403730258386,0.5111151319894434,0.527514962505214,0.06588888215136463,0.46217129415684666,0.6099985761384283,0.48991386929514286,1.469908311746587,0.20059791353480505,1.2564945771394858,1.7984921728246273,1.450499251969543,145.2,35.597752738059185,97,187,141.0,5.277180584174241,2.2296312870406876,2.0307772943867417,7.69331322352,5.377699748953839,QSVM,5
QASA Hybrid,0.11725896803343519,0.010412356813286509,0.10546077432723257,0.1331040887972501,0.11655208024500681,0.13049788377914562,0.011587945485754344,0.11736763594482334,0.14813196979048804,0.1297111860791205,1.3238915745710425,0.1175588672467832,1.1906861617590774,1.5027880993237916,1.3159105834113671,-0.017021463101627686,0.0015114711503157834,-0.019321561277020175,-0.015308822079759565,-0.016918850358146147,6.514387112968622,0.5784642674048062,5.858931907068476,7.394671599847229,6.475115569167046,0.5311688058733124,0.05627660554535486,0.4708045921980462,0.5868466053024314,0.5488050049972775,1.4560347067935804,0.35934608575760546,1.0578751896229412,1.9782041340820062,1.4401524937396013,149.2,17.484278652549555,129,175,150.0,4.637513321086925,1.75322081656329,3.2963831779915793,7.245816867507386,3.6080010340340607,QASA Hybrid,5
QASA Sequence,0.1399010591811099,0.020437957480070337,0.1253956847486256,0.1757908018736136,0.13422150718808423,0.08353804253260518,0.012203960221912502,0.07487655995781241,0.10496860831302106,0.0801466553713021,1.7613442702657718,0.25731241431743235,1.578722649712912,2.2131935487685164,1.6898391192744415,-0.04931763956744161,0.007204747600888103,-0.061969419365518454,-0.04420423419196154,-0.04731549533968437,2.855123656757345,0.41710117306266,2.5590956071148083,3.5875673851757877,2.739214432409882,0.6084590991627955,0.038667057765959995,0.5620958451182103,0.6463883250815015,0.6166389823472329,1.479569543736828,0.3808558115045909,1.092109328545758,1.9560841356049328,1.3811732874488374,147.4,53.31791443783224,87,198,160.0,4.684551985470149,1.632106834376682,3.085487571547406,7.175503815812251,4.264492434298535,QASA Sequence,5
QuantumRWKV,0.07964617891765369,0.00418658828149706,0.07337299944304981,0.08367861226937032,0.08001506506414449,0.11472842439328686,0.006030680738823147,0.10569205872153602,0.12053704862611675,0.11525979610430337,1.185210995798418,0.062300420855611,1.0918601107596697,1.2452174444846773,1.1907003729783407,-0.031289570289078236,0.001644731110588131,-0.03287374053439548,-0.02882510692405528,-0.031434489846628194,2.413520573262233,0.12686631156051686,2.223424225546964,2.5357155233142517,2.424698941337712,0.5696970315504979,0.05387285300663647,0.4839215528932802,0.6230034241214364,0.5922191372406057,1.3593193212956372,0.2473057030111191,1.0725078133976362,1.672177279476176,1.3100739375162225,126.8,17.991664736760743,104,146,133.0,4.134324076267992,2.119779833598478,2.1878797547333515,7.5318526599806,3.3986859795178983,QuantumRWKV,5
Transformer,0.1231264017160946,0.006730159221011052,0.1163770171091921,0.13310390717229204,0.12030217625662266,0.15390800214511824,0.008412699026263817,0.14547127138649013,0.16637988396536504,0.1503777203207783,1.231264017160946,0.06730159221011053,1.163770171091921,1.3310390717229204,1.2030217625662265,-0.08208426781072972,0.004486772814007369,-0.08873593811486137,-0.07758467807279475,-0.08020145083774845,1.5390800214511824,0.08412699026263813,1.4547127138649014,1.6637988396536505,1.5037772032077834,0.5911831589357947,0.077470597861477,0.45403037681302266,0.6364563642393757,0.6184569549189998,1.28177697738175,0.24900953568298592,1.0181900023714086,1.625897822605302,1.1802211991489173,154.8,14.394443372357264,135,172,153.0,5.5098412730921,1.8547663247731323,2.8322655440787257,7.368964102565893,6.18457950922515,Transformer,5
