Model,APR,Sharpe_Ratio,Max_Drawdown,Volatility,Win_Rate,Total_Trades,Model_Type
Random Forest,0.1299342830602246,1.6647688538100691,-0.0804605971281605,0.1472347139765763,0.4616167224336399,149,Classic ML
Gradient Boosting,0.1153172608610163,1.6164164819840736,-0.0546619047811948,0.1403476240710399,0.4501557531682029,107,Classic ML
Logistic Regression,0.0455016433497393,1.0987168879665576,-0.0562849466519054,0.1087542494151805,0.5412139968434072,100,Classic ML
VQE Classifier,0.0317539259732941,0.8355551317122433,-0.0583402221932635,0.1795108964501186,0.5400998503939086,138,Quantum ML
QNN,0.0479949229978817,0.8291034001262183,-0.0372888051945072,0.1989487964209327,0.5490353820222541,130,Quantum ML
QSVM,0.0567648922720495,0.9091992264357672,-0.1055662608310488,0.1546976177215471,0.4869708911051054,93,Quantum ML
QASA Hybrid,0.1243727663210772,1.3990914657134892,-0.0183341157292622,0.1376352207789722,0.5213506653387179,173,Hybrid Quantum
QASA Sequence,0.1392371667667408,1.7486674594602831,-0.04912926395053,0.0831316015328143,0.5289763036351139,112,Hybrid Quantum
Transformer,0.12,1.2,-0.08,0.15,0.58,85,Transformer
Static Baseline,0.0,0.0,0.0,0.0,0.0,0,Baseline
Fixed Baseline,0.05,0.8,-0.05,0.08,0.52,12,Baseline
Static Baseline,0.05,0.8,-0.1,0.15,0.5,0,Baseline
Fixed Baseline,0.08,1.0,-0.12,0.18,0.52,0,Baseline
